Numbering,Exclusion Rule Type,UNR,Name,Overall Average Grade,Overall Covered,Enclosing Entity,At Least,Score
1,None,none,coverage,66.67%,20.0,uvm_pkg.uvm_test_top.env_h.scoreboard_h,1,4031
1.1,None,none,DUT_RESET,100%,1.0,uvm_pkg.uvm_test_top.env_h.scoreboard_h,1,3
1.1.1,None,none,dev_reset,100%,1.0,,1,3
1.2,None,none,WRITE,0%,0.0,uvm_pkg.uvm_test_top.env_h.scoreboard_h,1,0
1.2.1,None,none,write,0%,0.0,,1,0
1.3,None,none,READ,100%,1.0,uvm_pkg.uvm_test_top.env_h.scoreboard_h,1,1007
1.3.1,None,none,read,100%,1.0,,1,1007
1.4,None,none,ADDRESS_GROUP,100%,8.0,uvm_pkg.uvm_test_top.env_h.scoreboard_h,1,1007
1.4.1,None,none,APB_SLAVE1,100%,1.0,,1,132
1.4.2,None,none,APB_SLAVE2,100%,1.0,,1,125
1.4.3,None,none,APB_SLAVE3,100%,1.0,,1,113
1.4.4,None,none,APB_SLAVE4,100%,1.0,,1,139
1.4.5,None,none,APB_SLAVE5,100%,1.0,,1,120
1.4.6,None,none,APB_SLAVE6,100%,1.0,,1,114
1.4.7,None,none,APB_SLAVE7,100%,1.0,,1,127
1.4.8,None,none,APB_SLAVE8,100%,1.0,,1,137
1.5,None,none,TRANSACTION,66.67%,2.0,uvm_pkg.uvm_test_top.env_h.scoreboard_h,1,1007
1.5.1,None,none,idle,100%,1.0,,1,7
1.5.2,None,none,nonseq,100%,1.0,,1,1000
1.5.3,None,none,sequen,0%,0.0,,1,0
1.6,None,none,WRITE_CROSS_COVERAGE,0%,0.0,uvm_pkg.uvm_test_top.env_h.scoreboard_h,1,0
1.6.1,None,none,"write,APB_SLAVE1",0%,0.0,,1,0
1.6.2,None,none,"write,APB_SLAVE2",0%,0.0,,1,0
1.6.3,None,none,"write,APB_SLAVE3",0%,0.0,,1,0
1.6.4,None,none,"write,APB_SLAVE4",0%,0.0,,1,0
1.6.5,None,none,"write,APB_SLAVE5",0%,0.0,,1,0
1.6.6,None,none,"write,APB_SLAVE6",0%,0.0,,1,0
1.6.7,None,none,"write,APB_SLAVE7",0%,0.0,,1,0
1.6.8,None,none,"write,APB_SLAVE8",0%,0.0,,1,0
1.7,None,none,READ_CROSS_COVERAGE,100%,8.0,uvm_pkg.uvm_test_top.env_h.scoreboard_h,1,1007
1.7.1,None,none,"read,APB_SLAVE1",100%,1.0,,1,132
1.7.2,None,none,"read,APB_SLAVE2",100%,1.0,,1,125
1.7.3,None,none,"read,APB_SLAVE3",100%,1.0,,1,113
1.7.4,None,none,"read,APB_SLAVE4",100%,1.0,,1,139
1.7.5,None,none,"read,APB_SLAVE5",100%,1.0,,1,120
1.7.6,None,none,"read,APB_SLAVE6",100%,1.0,,1,114
1.7.7,None,none,"read,APB_SLAVE7",100%,1.0,,1,127
1.7.8,None,none,"read,APB_SLAVE8",100%,1.0,,1,137
